Direccion;Canal;Segmento;Fecha de creacion;Dia de la semana;Numero de semana;Cod Persona;Campaña de referencia
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;42820520;Pregrado-AC-202602 
Outbound;WhatsApp;ugfowpe647_formulario_web_periodo_anterior_1304;16/04/2026;jueves;16;48860190;Pregrado-AC-202602 
Inbound;Web;Gracias landing;16/04/2026;jueves;16;49615480;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;49615480;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;46454700;Pregrado-AC-202602 
Inbound;Web;Gracias landing;15/04/2026;miércoles;16;49592480;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;16/04/2026;jueves;16;49611800;Pregrado-AC-202602 
Inbound;Web;Gracias landing;13/04/2026;lunes;16;49573570;Pregrado-AC-202602 
Inbound;Web;Portal;19/04/2026;domingo;16;49649290;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;40273400;Pregrado-AC-202602 
Inbound;Redes sociales;Pauta Facebook;19/04/2026;domingo;16;48296890;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;29661120;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;29661120;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;45783800;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;33974070;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;36352800;Pregrado-AC-202602 
Inbound;Web;Portal;15/04/2026;miércoles;16;44732880;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;18/04/2026;sábado;16;49640900;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49458960;Pregrado-AC-202602 
Outbound;WhatsApp;ugpmfo96_increm_pre_medicina_form_web_16042026;16/04/2026;jueves;16;47274080;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;47274080;Pregrado-AC-202602 
Inbound;Redes sociales;Pauta Instagram;15/04/2026;miércoles;16;47194960;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;43361910;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;47521820;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45296020;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;49596340;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49596340;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45225470;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;45225470;Pregrado-AC-202602 
Inbound;Web;Banner principal;14/04/2026;martes;16;48484450;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;42937360;Pregrado-AC-202602 
Outbound;WhatsApp;wacoy648_inicial_contactados_y_interesados_15042026;15/04/2026;miércoles;16;37986840;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;47290970;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias pag Facultad;15/04/2026;miércoles;16;24727490;Pregrado-AC-202602 
Inbound;Web;Portal;13/04/2026;lunes;16;49575320;EPE-FC-202602 - EPE- 202602
Inbound;Web;Gracias landing;18/04/2026;sábado;16;49642650;EPE-FC-202602 - EPE- 202602
Outbound;WhatsApp;ugles537_leads_semanales_170426;17/04/2026;viernes;16;48791900;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;13211320;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;13211320;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;48456620;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;40191420;Pregrado-AC-202602 
Outbound;WhatsApp;ugles537_leads_semanales_170426;17/04/2026;viernes;16;27547370;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;23783090;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página carrera;13/04/2026;lunes;16;48626870;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;15/04/2026;miércoles;16;48626870;Pregrado-AC-202602 
Outbound;WhatsApp;ugfowpe647_formulario_web_periodo_anterior_1304;16/04/2026;jueves;16;48681770;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;42726960;Pregrado-AC-202602 
Inbound;Email;Email bienvenida;14/04/2026;martes;16;45280890;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;14/04/2026;martes;16;45280890;Pregrado-AC-202602 
Outbound;WhatsApp;ugfowpe647_formulario_web_periodo_anterior_1304;16/04/2026;jueves;16;42345050;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45640330;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;17/04/2026;viernes;16;41036640;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;17/04/2026;viernes;16;15962330;EPE-FC-202602 - EPE- 202602
Inbound;Web;Portal;18/04/2026;sábado;16;49640340;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49640340;Pregrado-AC-202602 
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;42385480;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45123210;MEDICINA - Pregrado-AC-202701
Inbound;Otras fuentes;Otras fuentes;16/04/2026;jueves;16;49070230;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;13/04/2026;lunes;16;49567720;EPE-FC-202602 - EPE- 202602
Inbound;Web;Botón Página Principal;13/04/2026;lunes;16;49562730;Pregrado-AC-202602 
Outbound;WhatsApp;wafowa459_incre_formulario_web_contactados_16042026;16/04/2026;jueves;16;31470340;EPE-FC-202602 - EPE- 202602
Inbound;Otras fuentes;Otras fuentes;18/04/2026;sábado;16;49635000;Pregrado-AC-202602 
Outbound;WhatsApp;ugpm27_total_pre_medicina_base_preliminar_15042026;15/04/2026;miércoles;16;45523160;MEDICINA - Pregrado-AC-202701
